code,type,serial
a883dfd08,1,13
a5e99d35f,1,13
a8fe98be4,1,13
a3283d202,1,13
a0f24ca65,1,13
ad081cba2,1,13
a176f7221,1,13
a7322782c,1,13
a85de3838,1,13
a044e2fa0,1,13
a95f67885,1,13
a7ce31304,1,13
ae8f53ccc,1,13
a9e7ac5f5,1,13
a2132b6d5,1,13
a21a61a15,1,13
aed3af096,1,13
adb172233,1,13
a6005e325,1,13
ab0ecd7ee,1,13
aa24a8612,1,13
ad9b51dfe,1,13
a953a6858,1,13
ae0023401,1,13
a35e140df,1,13
ac5ebe317,1,13
a248b60a5,1,13
af31a27fd,1,13
ae3e6af22,1,13
a9300d6ca,1,13
a4c14fd1c,1,13
aa762b2b4,1,13
a0e774f21,1,13
ad238517d,1,13
a123610a9,1,13
a20735001,1,13
a4cf2e797,1,13
a9e3c4619,1,13
a7fd9392f,1,13
ad3f29ea0,1,13
aca7c3f39,1,13
a465091b1,1,13
a9035837e,1,13
a9cd7fb99,1,13
a477f959e,1,13
a9ea25e99,1,13
aaffac977,1,13
a47d3567e,1,13
a7ec26307,1,13
a709a3d5d,1,13
a2a36a3e8,1,13
a651b354c,1,13
a61f59d51,1,13
ac8c2ada3,1,13
ad9e2db61,1,13
a37409c5f,1,13
a4d258318,1,13
aa9772a6d,1,13
a29f0a3e0,1,13
ac1abd7f4,1,13
a82b9e52f,1,13
a1ed16f4a,1,13
acec4b52b,1,13
a856c2538,1,13
a01afd56b,1,13
a6ed80e1b,1,13
a0a2548f7,1,13
a0d3b8b36,1,13
a4eece5ad,1,13
a83989a4b,1,13
a5f4e87cc,1,13
a25f4f580,1,13
a017016d1,1,13
ac0f97ae3,1,13
aa1526cbe,1,13
ab0581d5e,1,13
ab3b51d60,1,13
addf64bc2,1,13
a6980346e,1,13
a1ba4d0d6,1,13
a784cd037,1,13
a803a06ed,1,13
a209b5818,1,13
a63adace0,1,13
a1d4c81f4,1,13
a37374c78,1,13
a884936a7,1,13
a7e982d51,1,13
a2177dde1,1,13
a64a2a4ac,1,13
a5ca89d45,1,13
a12ed0182,1,13
aa1e1c368,1,13
a02c3d9f2,1,13
a1e7d5301,1,13
a6b15b896,1,13
af4f0962a,1,13
a2d6c25ea,1,13
a04ad1d51,1,13
a4e958764,1,13
ac50f22ca,1,13
a8e216310,1,13
a83572e92,1,13
ac80d49df,1,13
a6ce0392e,1,13
a7ee41763,1,13
ac54f814c,1,13
a162b090d,1,13
a9e663b81,1,13
a1bf1d2dc,1,13
ad1046213,1,13
a9fd5f7ea,1,13
a41c7ad40,1,13
a0de6aa90,1,13
a2ae52595,1,13
a418e0a08,1,13
a64f2c56d,1,13
a5088010f,1,13
a1b5adad4,1,13
ad6ea2b83,1,13
ace4179a0,1,13
a0103000c,1,13
a3b39b921,1,13
a46e635cc,1,13
adf5c1b91,1,13
a5d1abc4e,1,13
a07a97a0b,1,13
abee17aa5,1,13
ac743becb,1,13
ae53eba1f,1,13
aa998128f,1,13
a63eecc07,1,13
ab3db4426,1,13
a0893f69e,1,13
a5b43ee23,1,13
aa1f900d0,1,13
aa5f7eaad,1,13
aefd16b43,1,13
adfa29260,1,13
a2eac9e01,1,13
af6cc5ae0,1,13
a20431247,1,13
a91938a55,1,13
a7145b9f8,1,13
a798c31bd,1,13
ad087d6db,1,13
a8b352e97,1,13
adce806f2,1,13
a85502067,1,13
aa2245160,1,13
ac20b7ddf,1,13
a3b044fb4,1,13
acb47aa8c,1,13
a87c1c88b,1,13
a3c28778d,1,13
a222b4f64,1,13
a889062e3,1,13
a60f77419,1,13
a7bada8c8,1,13
a72e9ea35,1,13
a028ab83b,1,13
a86e6a864,1,13
afb4b936e,1,13
a212dd22e,1,13
a2802ffd5,1,13
af59c1af5,1,13
ac40bce4a,1,13
a31d5b92f,1,13
aefdb8dd4,1,13
af35fe040,1,13
a78bddc53,1,13
a063c3912,1,13
adc7b8a1c,1,13
a6972342a,1,13
af0c6d7ab,1,13
a25281c5d,1,13
a6ac7e96b,1,13
a05d155d3,1,13
a449e7eb6,1,13
a915b985d,1,13
a07bc2b25,1,13
a08221cab,1,13
a77b0b5bc,1,13
a084561c8,1,13
a0696c53d,1,13
a7ea571d2,1,13
a00715a9e,1,13
a222754b6,1,13
a17339982,1,13
a8c1f4808,1,13
a80ed05c7,1,13
aa4c7f206,1,13
a290cc5ee,1,13
a3df3d222,1,13
ac4ec2127,1,13
a856f4cfe,1,13
adaaa39b0,1,13
acf0620e1,1,13
a6f71be27,1,13
a7fd53f16,1,13
a2fdc934e,1,13
a6952c1da,1,13
a503827e5,1,13
aef536892,1,13
