code,type,serial
aadb4db52,1,16
a26202393,1,16
a083af5d0,1,16
a921a8d8b,1,16
ade2786cc,1,16
a203f589c,1,16
acaa9e1d2,1,16
a435bcb0b,1,16
ad53aa5d4,1,16
a6adf40a6,1,16
a67d4ff6d,1,16
a9ee215b7,1,16
a0639919e,1,16
ad57840ad,1,16
a473f9b2a,1,16
a71ddb6f1,1,16
a86d52c32,1,16
a02fb4a59,1,16
a9a207c99,1,16
acea9749b,1,16
a68591f07,1,16
aaf5a5a0c,1,16
a406ae2df,1,16
a2f2fbc8c,1,16
a89b3cc3f,1,16
a2d177610,1,16
ab89f167f,1,16
a92bacd23,1,16
a5859775d,1,16
aa3e48be4,1,16
a56f35c8d,1,16
aceb267bb,1,16
af73f098e,1,16
a31f246e5,1,16
aca2beda7,1,16
af67076f8,1,16
a97380724,1,16
ae4a5ac3c,1,16
a3baa0a3a,1,16
a50c9dad7,1,16
a0edeeab3,1,16
a5d1768ca,1,16
a87dcdb23,1,16
a6ff59add,1,16
a6b24c030,1,16
a5a16825d,1,16
aea080813,1,16
aba188adf,1,16
a39e2d16a,1,16
a8cc6bc28,1,16
a7536d034,1,16
a79306a30,1,16
ad54eed55,1,16
a234e7491,1,16
aee32f88c,1,16
acf11b932,1,16
ac4adacba,1,16
ae54b5b3b,1,16
a5e292056,1,16
a73db4922,1,16
a5047ad2c,1,16
a0ff19261,1,16
a90a3a9ba,1,16
ae03fbe4b,1,16
ab492f88f,1,16
a5ceaa835,1,16
aabb9c812,1,16
a2519f099,1,16
a86c761bb,1,16
aeec1de86,1,16
a1ade02bc,1,16
a08eedef2,1,16
a02183b04,1,16
a3956fa9d,1,16
aa11cc700,1,16
ac8547fca,1,16
a7ee1fb23,1,16
acec9457b,1,16
a3cb10038,1,16
a6ed0afa9,1,16
a4e14299b,1,16
ac1596e3d,1,16
a62bc1ce5,1,16
a1c36ceca,1,16
a6d5517c2,1,16
a1ddc7a05,1,16
a856526b8,1,16
a17b81cca,1,16
ad28293bd,1,16
