code,type,serial
a8f937cfd,1,1
a01527ff5,1,1
a7df8f706,1,1
a83440fca,1,1
ab2e9297b,1,1
a36ac3419,1,1
a3856aae6,1,1
a17d9cfa5,1,1
a4e61d3bf,1,1
a4ce6d130,1,1
a59d98544,1,1
adbcba1dd,1,1
aaea9ca66,1,1
a43ec2bcb,1,1
a9557ad79,1,1
a0f22e512,1,1
a3c4b941e,1,1
aea3ceecf,1,1
a6ce7f3aa,1,1
a7bc3605c,1,1
a8e4882fd,1,1
a4f28d718,1,1
abfca28c4,1,1
a6294f8db,1,1
a86e76ed9,1,1
ae1565712,1,1
a0de32ff0,1,1
a112d4241,1,1
a232d91e9,1,1
a9700a8c6,1,1
ac00e87b9,1,1
a21c0259c,1,1
a61cd34f8,1,1
a8384d17d,1,1
a824c5ba6,1,1
a7b3d637a,1,1
a4f27a614,1,1
a864ba567,1,1
a61d01805,1,1
abc847ae9,1,1
a242a6c10,1,1
a352263ad,1,1
a7dd5cd63,1,1
ab0f2c810,1,1
a556feb5d,1,1
aa7b3d35c,1,1
accbc5d1d,1,1
a91c0bc8c,1,1
a7e3a1926,1,1
a3dcc9b94,1,1
a3102f9ce,1,1
af3a6e4fc,1,1
a92e0df83,1,1
ab8ead76f,1,1
a14766120,1,1
a73b9e81b,1,1
a0adc5bc3,1,1
aa1d59bc0,1,1
aebb24107,1,1
a22a83967,1,1
a82124461,1,1
a4498a557,1,1
a47011dee,1,1
a33bb7e44,1,1
ad398f732,1,1
a98a25ec1,1,1
a0820e82e,1,1
a7b2e1082,1,1
a2d8e862b,1,1
a4747a719,1,1
ab4ab430f,1,1
aa3f90ba5,1,1
a4947a11a,1,1
ab13fd0ed,1,1
abc8feb61,1,1
aee8fb9ac,1,1
ae5ba2202,1,1
a68b6dc3f,1,1
a63890f8c,1,1
afc1e5ab1,1,1
a70f535a0,1,1
abaf075a7,1,1
a6fd6ee24,1,1
a5828dbd2,1,1
ad2874c71,1,1
a8014993c,1,1
ab6951e85,1,1
ad95daa24,1,1
a7bfaf596,1,1
a9705cad2,1,1
afb76fdc5,1,1
a91056412,1,1
a61fa56cc,1,1
a7326c74d,1,1
a19137cf6,1,1
af6d9ef5c,1,1
ac7dfc1de,1,1
a172930e4,1,1
a861f2540,1,1
a80a8ba09,1,1
a80a3845e,1,1
aa888c899,1,1
ac57541f2,1,1
a9eeb915a,1,1
abe4e437d,1,1
a15f8ee06,1,1
a222fc577,1,1
a20f0d031,1,1
a67e141f3,1,1
a7d478633,1,1
a9d03adf0,1,1
ad6380659,1,1
a773111e3,1,1
a61e5d5c9,1,1
a97580a22,1,1
acffe1176,1,1
aa57a43c6,1,1
a28479001,1,1
a2d37f111,1,1
