code,type,serial
afd3b728f,1,5
adae72722,1,5
a60dc823e,1,5
aef3a9946,1,5
afdb1ccb5,1,5
a49e38811,1,5
a1d4f9c0b,1,5
aecd4feb3,1,5
a9bd2d312,1,5
aabcdfcfa,1,5
a67b27d88,1,5
a4e4bc548,1,5
a846adb10,1,5
a9e80a01b,1,5
aed0ce67a,1,5
a9841de69,1,5
ae2f05ff6,1,5
aafc346d8,1,5
a12cb011f,1,5
a27adb85b,1,5
ad4f9a4e1,1,5
ab7d08778,1,5
aa6bd6e16,1,5
ab0f3ccbf,1,5
a30974802,1,5
af8f47c1b,1,5
aeebe3927,1,5
a5a00405f,1,5
ac011a3ff,1,5
a9dd3d55a,1,5
a867b7acb,1,5
a064bf0b3,1,5
a4c1ce2ce,1,5
a7f0d0292,1,5
aee1ec17f,1,5
a1816084d,1,5
aa5487455,1,5
a29a2a376,1,5
a3a000256,1,5
a90c1b3b7,1,5
a1a6f7725,1,5
af6e3f23e,1,5
a2136e5cb,1,5
ab212fbd0,1,5
a583ee642,1,5
a33c5196b,1,5
a3ca3828a,1,5
aaf37828b,1,5
af8e38679,1,5
a2d00c7a6,1,5
ab3d4afc4,1,5
a783ab186,1,5
af1c9255f,1,5
a8e6de5cc,1,5
ab2ac6309,1,5
a4a9e72f1,1,5
ac4348edd,1,5
af1f97ff4,1,5
a7f73bff2,1,5
a3854e1d9,1,5
ae5cf2624,1,5
ab031454d,1,5
a0b705d88,1,5
ad9e19138,1,5
a662256a6,1,5
a377eec9f,1,5
ab887eb3d,1,5
a0dd65b0c,1,5
aed5b40a1,1,5
a8311e8f5,1,5
a903b90e9,1,5
ac0c797c1,1,5
a43c4136f,1,5
aabf3bcc5,1,5
ad9bc5d20,1,5
a429863a9,1,5
a3cdc9247,1,5
a7852ae2e,1,5
a05b9aadd,1,5
ae36bae1d,1,5
a867dab1e,1,5
aee4776d3,1,5
a4dc730bb,1,5
ab01767a2,1,5
a71cbb70a,1,5
a371e702e,1,5
a4ec2be21,1,5
a9b1efa47,1,5
ac578ab09,1,5
a2e6286fd,1,5
acbec3f6d,1,5
a5411f629,1,5
a076b8a3f,1,5
a89c3be39,1,5
abe9ad077,1,5
a61f8a0a5,1,5
abf1e7acc,1,5
a8a9cc9f0,1,5
a0da8c1e5,1,5
a35b49c4b,1,5
aef0fc694,1,5
a359d2f15,1,5
a5ad563e9,1,5
a23d4cc50,1,5
ae42ac241,1,5
a3f15aab1,1,5
ae1f2cb19,1,5
a9b135c29,1,5
a99ef3d96,1,5
a828fa466,1,5
a6b65c7af,1,5
ae0b96eb6,1,5
a018d220a,1,5
a5a833eea,1,5
a3e59cca6,1,5
a88390a84,1,5
a22e970b2,1,5
ad999595b,1,5
a25422ef9,1,5
aff4826ff,1,5
abaafe764,1,5
a2d29d31e,1,5
a5d1f244d,1,5
abfa9ec41,1,5
a8fe7ec3d,1,5
afc5febe2,1,5
a3c3d955b,1,5
a3b9a7f15,1,5
a5c4c1e75,1,5
a7ef8c937,1,5
