code,type,serial
a7b3dd811,1,6
a14074446,1,6
aa9620fd1,1,6
a9539c94f,1,6
a21f8c6ba,1,6
a0b70b065,1,6
a9655944e,1,6
a0c2a05d3,1,6
a3b7be89d,1,6
aad4af1ea,1,6
a08730bd8,1,6
a30fe644f,1,6
a6c8b7114,1,6
a905d28c6,1,6
a07a2a3f7,1,6
aaa577e43,1,6
a5e32a43f,1,6
a78ace3ae,1,6
a67abd304,1,6
abd42b3bb,1,6
a0a17446e,1,6
a511b1137,1,6
a947da6d0,1,6
a960dd6cb,1,6
ae6c6e428,1,6
abfdeedb3,1,6
a88b9228a,1,6
abbde365e,1,6
a714c6588,1,6
af3e96923,1,6
a37f9b8dd,1,6
a93c3992e,1,6
a2382433b,1,6
adb1e4d7a,1,6
a3b376fbc,1,6
aedcde1c2,1,6
adbda1fa4,1,6
af0bb30bf,1,6
a2098bc31,1,6
aaba7f3de,1,6
aa66615a3,1,6
a67f6965f,1,6
a49e97b32,1,6
aa3eb0590,1,6
a1f048247,1,6
a34ced35b,1,6
afc02bb17,1,6
a3023a4bf,1,6
a7cdf8ff9,1,6
a83d85733,1,6
a339fed86,1,6
a6e590477,1,6
ab7f350db,1,6
aaf85bd33,1,6
af8da40a9,1,6
a1ccd8a0e,1,6
a8c001458,1,6
a03a8ba67,1,6
acda5bc5f,1,6
a6c45a5df,1,6
af504fd98,1,6
a359ea0d0,1,6
a2c00646f,1,6
a8fede003,1,6
a8278cf18,1,6
a4c314aee,1,6
af56922cd,1,6
a129cabf7,1,6
a85192705,1,6
a16dd5d38,1,6
a1d3216e4,1,6
af9045c69,1,6
a3413c00b,1,6
a875c0167,1,6
a6b9c85ce,1,6
a567c5654,1,6
af0864deb,1,6
addd91164,1,6
ad93cf53a,1,6
af7edb492,1,6
a149fec29,1,6
a5fecf3b3,1,6
ad7be8453,1,6
a491c0968,1,6
a1d0ab774,1,6
a8c4e64e3,1,6
a86614523,1,6
a92684e54,1,6
ad7c237e2,1,6
a52dbe861,1,6
aba69d21a,1,6
a2cc1640d,1,6
a5ab770c5,1,6
a31ebfbdf,1,6
a02ae5ecc,1,6
a670312c1,1,6
ae828a266,1,6
a9b20b0f2,1,6
a08756a11,1,6
a3cc87c10,1,6
a43c63770,1,6
a7245abca,1,6
ad1359ecf,1,6
abb4c04e6,1,6
a10998083,1,6
aa752db32,1,6
a9ffe89f7,1,6
a5b76e0ee,1,6
a8c02078c,1,6
a2725a26c,1,6
aa9ecd354,1,6
a038d7048,1,6
a044fe320,1,6
a513105a9,1,6
ae911727a,1,6
a4f5adfda,1,6
a25155ef2,1,6
a535ad9a8,1,6
a3e889358,1,6
a20566fc5,1,6
aa09518f5,1,6
ac1445e24,1,6
a6b0e098d,1,6
ad89887ea,1,6
aa0ae661d,1,6
a1800dd63,1,6
a00998d5d,1,6
a0f73e7c4,1,6
a00f9d326,1,6
af7d80670,1,6
af9242681,1,6
a8e30c221,1,6
ad54cb96f,1,6
a234ce5ad,1,6
a2f878a83,1,6
a05cd7df6,1,6
a642536f3,1,6
a7bd3459f,1,6
ae310f5bd,1,6
a03e9d4c9,1,6
a7f39e77e,1,6
a3c6dc176,1,6
ac8a53674,1,6
a5da41e2e,1,6
